Country Name,Country Code,2021 [YR2021] - Individuals using the Internet (% of population) [IT.NET.USER.ZS],"2021 [YR2021] - Population, total [SP.POP.TOTL]"
Afghanistan,AFG,..,40099462
Albania,ALB,79.32371752,2811666
Algeria,DZA,..,44177969
American Samoa,ASM,..,45035
Andorra,AND,..,79034
Angola,AGO,..,34503774
Antigua and Barbuda,ATG,..,93219
Argentina,ARG,87.14829302,45808747
Armenia,ARM,..,2790974
Aruba,ABW,..,106537
Australia,AUS,..,25688079
Austria,AUT,92.52915104,8955797
Azerbaijan,AZE,..,10137750
"Bahamas, The",BHS,..,407906
Bahrain,BHR,100,1463265
Bangladesh,BGD,..,169356251
Barbados,BRB,..,281200
Belarus,BLR,86.88841196,9340314
Belgium,BEL,92.78867618,11592952
Belize,BLZ,..,400031
Benin,BEN,..,12996895
Bermuda,BMU,..,63867
Bhutan,BTN,85.63688389,777486
Bolivia,BOL,..,12079472
Bosnia and Herzegovina,BIH,75.67620138,3270943
Botswana,BWA,..,2588423
Brazil,BRA,..,214326223
British Virgin Islands,VGB,..,31122
Brunei Darussalam,BRN,..,445373
Bulgaria,BGR,75.27144583,6877743
Burkina Faso,BFA,..,22100683
Burundi,BDI,..,12551213
Cabo Verde,CPV,..,587925
Cambodia,KHM,..,16589023
Cameroon,CMR,..,27198628
Canada,CAN,..,38246108
Cayman Islands,CYM,..,68136
Central African Republic,CAF,..,5457154
Chad,TCD,..,17179740
Channel Islands,CHI,..,172683
Chile,CHL,..,19493184
China,CHN,73.0532414,1412360000
Colombia,COL,..,51516562
Comoros,COM,..,821625
"Congo, Dem. Rep.",COD,..,95894118
"Congo, Rep.",COG,..,5835806
Costa Rica,CRI,82.74901607,5153957
Cote d'Ivoire,CIV,..,27478249
Croatia,HRV,81.25399889,3899000
Cuba,CUB,71.11907507,11256372
Curacao,CUW,..,152369
Cyprus,CYP,90.75966792,1244188
Czechia,CZE,82.67062427,10505772
Denmark,DNK,98.8658506,5856733
Djibouti,DJI,..,1105557
Dominica,DMA,..,72412
Dominican Republic,DOM,..,11117873
Ecuador,ECU,..,17797737
"Egypt, Arab Rep.",EGY,..,109262178
El Salvador,SLV,..,6314167
Equatorial Guinea,GNQ,..,1634466
Eritrea,ERI,..,3620312
Estonia,EST,91.03626943,1330932
Eswatini,SWZ,..,1192271
Ethiopia,ETH,16.6981031,120283026
Faroe Islands,FRO,..,52889
Fiji,FJI,..,924610
Finland,FIN,92.80806082,5541017
France,FRA,86.09548575,67749632
French Polynesia,PYF,..,304032
Gabon,GAB,..,2341179
"Gambia, The",GMB,..,2639916
Georgia,GEO,76.4427093,3708610
Germany,DEU,91.43060973,83196078
Ghana,GHA,68.6,32833031
Gibraltar,GIB,..,32669
Greece,GRC,78.49426371,10641221
Greenland,GRL,..,56653
Grenada,GRD,..,124610
Guam,GUM,..,170534
Guatemala,GTM,50.84164945,17109746
Guinea,GIN,..,13531906
Guinea-Bissau,GNB,..,2060721
Guyana,GUY,..,804567
Haiti,HTI,..,11447569
Honduras,HND,..,10278345
"Hong Kong SAR, China",HKG,93.08715788,7413100
Hungary,HUN,88.64083466,9709891
Iceland,ISL,99.68701957,372520
India,IND,..,1407563842
Indonesia,IDN,62.10447802,273753191
"Iran, Islamic Rep.",IRN,78.59573507,87923432
Iraq,IRQ,..,43533592
Ireland,IRL,..,5033165
Isle of Man,IMN,..,84263
Israel,ISR,..,9364000
Italy,ITA,74.8623274,59109668
Jamaica,JAM,..,2827695
Japan,JPN,..,125681593
Jordan,JOR,..,11148278
Kazakhstan,KAZ,90.9239507,19000988
Kenya,KEN,..,53005614
Kiribati,KIR,..,128874
"Korea, Dem. People's Rep.",PRK,..,25971909
"Korea, Rep.",KOR,97.57132662,51744876
Kosovo,XKX,..,1786038
Kuwait,KWT,99.70000672,4250114
Kyrgyz Republic,KGZ,..,6691800
Lao PDR,LAO,62,7425057
Latvia,LVA,91.17964988,1884490
Lebanon,LBN,..,5592631
Lesotho,LSO,..,2281454
Liberia,LBR,..,5193416
Libya,LBY,..,6735277
Liechtenstein,LIE,..,39039
Lithuania,LTU,86.93054425,2800839
Luxembourg,LUX,98.82696739,640064
"Macao SAR, China",MAC,..,686607
Madagascar,MDG,..,28915653
Malawi,MWI,..,19889742
Malaysia,MYS,96.7514278,33573874
Maldives,MDV,..,521457
Mali,MLI,..,21904983
Malta,MLT,87.46977302,518536
Marshall Islands,MHL,..,42050
Mauritania,MRT,..,4614974
Mauritius,MUS,..,1266060
Mexico,MEX,71.96819405,126705138
"Micronesia, Fed. Sts.",FSM,..,113131
Moldova,MDA,..,2615199
Monaco,MCO,..,36686
Mongolia,MNG,84.32602895,3347782
Montenegro,MNE,82.21969752,619211
Morocco,MAR,88.13031937,37076584
Mozambique,MOZ,..,32077072
Myanmar,MMR,..,53798084
Namibia,NAM,..,2530151
Nauru,NRU,..,12511
Nepal,NPL,..,30034989
Netherlands,NLD,92.05298013,17533044
New Caledonia,NCL,..,271030
New Zealand,NZL,..,5122600
Nicaragua,NIC,..,6850540
Niger,NER,..,25252722
Nigeria,NGA,..,213401323
North Macedonia,MKD,..,2065092
Northern Mariana Islands,MNP,..,49481
Norway,NOR,99.0000036,5408320
Oman,OMN,..,4520471
Pakistan,PAK,..,231402117
Palau,PLW,..,18024
Panama,PAN,..,4351267
Papua New Guinea,PNG,..,9949437
Paraguay,PRY,77.01838621,6703799
Peru,PER,71.10782643,33715471
Philippines,PHL,..,113880328
Poland,POL,85.37490811,37747124
Portugal,PRT,82.30902804,10325147
Puerto Rico,PRI,..,3263584
Qatar,QAT,..,2688235
Romania,ROU,83.59043346,19119880
Russian Federation,RUS,88.21384578,143449286
Rwanda,RWA,..,13461888
Samoa,WSM,..,218764
San Marino,SMR,..,33745
Sao Tome and Principe,STP,..,223107
Saudi Arabia,SAU,100,35950396
Senegal,SEN,..,16876720
Serbia,SRB,81.16588116,6834326
Seychelles,SYC,..,99258
Sierra Leone,SLE,..,8420641
Singapore,SGP,..,5453566
Sint Maarten (Dutch part),SXM,..,42846
Slovak Republic,SVK,88.92562911,5447247
Slovenia,SVN,89.00399524,2108079
Solomon Islands,SLB,..,707851
Somalia,SOM,..,17065581
South Africa,ZAF,..,59392255
South Sudan,SSD,..,10748272
Spain,ESP,93.89752157,47415750
Sri Lanka,LKA,..,22156000
St. Kitts and Nevis,KNA,..,47606
St. Lucia,LCA,..,179651
St. Martin (French part),MAF,..,31948
St. Vincent and the Grenadines,VCT,..,104332
Sudan,SDN,..,45657202
Suriname,SUR,..,612985
Sweden,SWE,88.30778589,10415811
Switzerland,CHE,95.56937176,8703405
Syrian Arab Republic,SYR,..,21324367
Tajikistan,TJK,..,9750064
Tanzania,TZA,..,63588334
Thailand,THA,85.26960482,71601103
Timor-Leste,TLS,..,1320942
Togo,TGO,..,8644829
Tonga,TON,..,106017
Trinidad and Tobago,TTO,..,1525663
Tunisia,TUN,..,12262946
Turkiye,TUR,81.40843745,84775404
Turkmenistan,TKM,..,6341855
Turks and Caicos Islands,TCA,..,45114
Tuvalu,TUV,..,11204
Uganda,UGA,..,45853778
Ukraine,UKR,..,43792855
United Arab Emirates,ARE,100,9365145
United Kingdom,GBR,..,67326569
United States,USA,..,331893745
Uruguay,URY,..,3426260
Uzbekistan,UZB,..,34915100
Vanuatu,VUT,..,319137
"Venezuela, RB",VEN,..,28199867
Vietnam,VNM,74.20999985,97468029
Virgin Islands (U.S.),VIR,..,105870
West Bank and Gaza,PSE,..,4922749
"Yemen, Rep.",YEM,..,32981641
Zambia,ZMB,..,19473125
Zimbabwe,ZWE,..,15993524
Africa Eastern and Southern,AFE,..,702976832
Africa Western and Central,AFW,..,478185907
Arab World,ARB,..,456520777
Caribbean small states,CSS,..,7481877
Central Europe and the Baltics,CEB,84.7131489804761,101430997
Early-demographic dividend,EAR,..,3411889059
East Asia & Pacific,EAS,73.1355895626711,2370204347
East Asia & Pacific (excluding high income),EAP,72.3953961642717,2123673456
East Asia & Pacific (IDA & IBRD countries),TEA,72.3953961642717,2097669023
Euro area,EMU,87.1751106641765,343067846
Europe & Central Asia,ECS,86.5336269623246,923777214
Europe & Central Asia (excluding high income),ECA,85.4311395130952,401575218
Europe & Central Asia (IDA & IBRD countries),TEC,85.2728079765725,462341222
European Union,EUU,86.7269197424394,447199800
Fragile and conflict affected situations,FCS,..,1001462452
Heavily indebted poor countries (HIPC),HPC,..,861156745
High income,HIC,..,1240629858
IBRD only,IBD,..,4917520297
IDA & IBRD total,IBT,..,6695397735
IDA blend,IDB,..,595016031
IDA only,IDX,..,1182861407
IDA total,IDA,..,1777877438
Late-demographic dividend,LTE,76.305510455442,2321862159
Latin America & Caribbean,LCN,..,654981699
Latin America & Caribbean (excluding high income),LAC,..,593308001
Latin America & the Caribbean (IDA & IBRD countries),TLA,..,639188695
Least developed countries: UN classification,LDC,..,1099568566
Low & middle income,LMY,..,6619578961
Low income,LIC,..,718255072
Lower middle income,LMC,..,3398187527
Middle East & North Africa,MEA,..,486167363
Middle East & North Africa (excluding high income),MNA,..,418047201
Middle East & North Africa (IDA & IBRD countries),TMN,..,413124452
Middle income,MIC,..,5901323889
North America,NAC,..,370203720
Not classified,INX,..,..
OECD members,OED,..,1372736513
Other small states,OSS,..,32708003
Pacific island small states,PSS,..,2602173
Post-demographic dividend,PST,..,1116796245
Pre-demographic dividend,PRE,..,1011043183
Small states,SST,..,42792053
South Asia,SAS,..,1901911604
South Asia (IDA & IBRD),TSA,..,1901911604
Sub-Saharan Africa,SSF,..,1181162739
Sub-Saharan Africa (excluding high income),SSA,..,1181063481
Sub-Saharan Africa (IDA & IBRD countries),TSS,..,1181162739
Upper middle income,UMC,75.61537229934,2503136362
World,WLD,..,7888408686
,,,
,,,
,,,
Data from database: World Development Indicators,,,
Last Updated: 03/30/2023,,,
